raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,100,99
46,,,,,,,,,,,,,100,99
45,69,98,,,,,,,,,,,100,99
44,68,97,,,,,,,,,,,100,99
43,66,95,,,,,,,,,,,100,99
42,65,93,,,,,,,,,,,100,99
41,64,91,,,,,,,,,,,100,99
40,62,88,,,,,,,,,,,100,99
39,61,84,66,96,,,,,,,,,100,99
38,59,81,64,94,,,,,,,,,98,99
37,58,77,63,90,,,,,,,,,97,99
36,57,72,61,86,,,,,66,99,,,95,99
35,55,67,60,82,,,,,64,96,,,93,99
34,54,63,58,77,,,,,62,91,,,91,99
33,52,58,57,72,,,,,60,84,,,90,99
32,51,53,55,66,,,,,58,76,,,88,99
31,49,48,54,61,,,,,56,67,,,86,99
30,48,42,52,56,,,,,54,59,63,93,84,99
29,47,38,51,50,,,,,52,51,62,88,83,99
28,45,33,49,45,,,,,50,44,60,81,81,99
27,44,28,48,40,67,97,75,99,48,37,58,75,79,99
26,42,24,46,35,64,92,73,98,46,30,56,68,77,99
25,41,20,45,30,62,87,71,98,43,25,54,62,76,99
24,39,16,43,26,60,80,69,96,41,20,53,55,74,98
23,38,13,42,22,57,73,67,95,39,16,51,49,72,98
22,37,10,40,18,55,65,65,93,37,12,49,43,70,97
21,35,8,39,15,52,57,63,90,35,9,47,37,68,96
20,34,6,37,12,50,50,61,86,33,7,46,32,67,94
19,32,4,36,10,48,42,59,82,31,5,44,27,65,93
18,31,3,34,7,45,34,57,77,29,3,42,23,63,90
17,30,2,33,6,43,27,55,71,27,2,40,19,61,87
16,28,1,31,4,41,21,53,64,25,1,39,15,60,84
15,27,1,30,3,38,14,51,57,23,1,37,12,58,79
14,25,1,28,2,36,9,49,49,21,1,35,9,56,74
13,24,1,27,1,33,5,47,42,19,1,33,7,54,69
12,22,1,25,1,31,2,46,34,17,1,31,5,53,62
11,21,1,24,1,29,1,44,27,14,1,30,3,51,55
10,20,1,22,1,26,1,42,21,12,1,28,2,49,48
9,18,1,21,1,24,1,40,15,10,1,26,1,47,41
8,17,1,19,1,21,1,38,11,10,1,24,1,45,34
7,15,1,18,1,19,1,36,7,10,1,23,1,44,27
6,14,1,16,1,17,1,34,4,10,1,21,1,42,21
5,12,1,15,1,14,1,32,3,10,1,19,1,40,16
4,11,1,13,1,12,1,30,1,10,1,17,1,38,12
3,10,1,12,1,10,1,28,1,10,1,16,1,37,8
2,10,1,10,1,10,1,26,1,10,1,14,1,35,5
1,10,1,10,1,10,1,24,1,10,1,12,1,33,3
0,10,1,10,1,10,1,22,1,10,1,10,1,31,2