Raw,InhibitTScore,Inhibit%Rank,ShiftTScore,Shift%Rank,EmotionalControlTScore,EmotionalControl%Rank,SelfMonitorTScore,SelfMonitor%Rank,InitiateTScore,Initiate%Rank,WorkingMemoryTScore,WorkingMemory%Rank,PlanOrganizeTScore,PlanOrganize%Rank,TaskMonitorTScore,TaskMonitor%Rank,OrgMaterialsTScore,OrgMaterials%Rank
30,,,,,101,>99,,,,,,,106,>99,,,,
29,,,,,98,>99,,,,,,,103,>99,,,,
28,,,,,95,>99,,,,,,,99,>99,,,,
27,,,,,92,>99,,,,,,,96,>99,,,,
26,,,,,89,>99,,,,,,,93,>99,,,,
25,,,,,86,>99,,,,,,,89,>99,,,,
24,97,>99,,,83,>99,,,103,>99,106,>99,86,>99,,,96,>99
23,93,>99,,,80,99,,,99,>99,102,>99,83,99,,,92,>99
22,90,>99,,,77,99,,,95,>99,97,>99,80,99,,,89,>99
21,86,>99,,,74,99,,,91,>99,93,>99,76,99,,,85,>99
20,83,>99,,,71,98,,,87,>99,89,99,73,99,,,82,>99
19,79,>99,,,68,94,,,83,>99,85,99,70,97,,,78,>99
18,76,>99,98,>99,65,93,95,>99,79,99,81,99,67,93,98,>99,75,99
17,73,98,93,>99,62,90,90,>99,75,99,77,99,63,93,93,>99,71,98
16,69,98,88,>99,59,83,85,>99,71,99,73,98,60,90,88,>99,68,98
15,66,97,83,99,56,77,81,>99,67,98,69,98,57,84,83,>99,64,97
14,62,95,79,99,53,68,76,99,63,91,65,94,53,75,78,>99,60,90
13,59,88,74,99,50,64,71,99,59,87,61,88,50,65,73,>99,57,80
12,55,78,69,98,47,57,66,98,55,78,56,77,47,53,68,99,53,72
11,52,70,64,93,44,48,62,90,51,68,52,68,44,41,63,92,50,67
10,48,56,59,83,41,33,57,77,47,52,48,58,40,27,58,83,46,59
9,45,36,54,73,,,52,69,43,41,44,44,,,53,72,43,51
8,41,16,50,62,,,47,53,39,23,40,30,,,48,58,39,27
7,,,45,47,,,43,33,,,,,,,43,35,,
6,,,40,35,,,38,21,,,,,,,38,16,,