T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,20,27,38,15,16,13,10,13,18,17,5,6
89,,26,37,,,,,,,,,
88,19,,36,,15,12,,12,,16,4,
87,,25,,,,,9,,17,,,
86,,,35,14,,,,,,15,,5
85,18,24,34,,14,11,,,,,,
84,,23,33,,,,,11,16,,,
83,17,,,13,,,,,,14,,
82,,22,32,,13,,8,,15,,,
81,,,31,,,10,,,,,,
80,16,21,30,12,,,,10,,13,,
79,,,,,12,,,,14,,,
78,15,20,29,,,9,,,,,,4
77,,19,28,11,,,7,9,,12,3,
76,,,27,,,,,,13,,,
75,14,18,,,11,,,,,,,
74,,,26,10,,8,,,12,11,,
73,13,17,25,,,,6,8,,,,
72,,,24,,10,,,,,,,
71,,16,,9,,7,,,11,10,,
70,12,,23,,,,,,,,,3
69,,15,22,,9,,,7,,,,
68,11,14,21,,,,5,,10,9,,
67,,,20,8,,6,,,,,2,
66,10,13,,,8,,,,9,,,
65,,,19,,,,,6,,8,,
64,,12,18,7,,5,,,,,,
63,9,,17,,7,,4,,8,7,,
62,,11,,,,,,,,,,2
61,8,,16,6,,,,5,,,,
60,,10,15,,6,4,,,7,6,,
59,,9,14,,,,,,,,,
58,7,,,5,,,3,4,6,,,
57,,8,13,,,3,,,,5,,
56,6,,12,,5,,,,,,1,
55,,7,11,4,,,,,5,,,
54,,,,,,,2,3,,4,,1
53,5,6,10,,4,2,,,,,,
52,,,9,3,,,,,4,,,
51,4,5,8,,,,,,,3,,
50,,4,,,3,1,,2,3,,,
49,,,7,,,,1,,,,,
48,3,3,6,2,,,,,,2,,
47,,,5,,2,,,,2,,,
46,2,2,,,,0,,1,,,0,0
45,,,4,1,,,,,,1,,
44,1,1,3,,1,,0,,1,,,
43,,,2,,,,,0,,,,
42,,0,,0,,,,,,0,,
41,0,,1,,0,,,,0,,,
<=40,,,0,,,,,,,,,