raw,cohesion,express,conflict,independence,achieve,intellect,active,moral,organization,control
9.0,65,71,80,69,72,69,69,71,69,76
8.5,62,68,78,65,69,66,66,68,66,73
8.0,59,65,75,61,66,63,64,66,63,70
7.5,55,62,73,57,63,61,61,64,61,68
7.0,52,59,70,53,59,58,59,61,58,65
6.5,48,56,67,49,56,55,56,59,55,62
6.0,45,53,65,45,53,52,53,56,53,59
5.5,42,50,62,41,50,50,51,54,50,57
5.0,38,47,60,37,47,47,48,51,48,54
4.5,35,44,57,33,44,44,46,49,45,51
4.0,31,40,54,29,41,41,43,46,42,49
3.5,28,37,52,25,38,39,41,44,40,46
3.0,25,34,49,21,35,36,38,41,37,43
2.5,21,31,46,17,32,33,36,39,34,40
2.0,18,28,44,13,29,30,33,36,32,38
1.5,14,25,41,9,25,28,30,34,29,35
1.0,11,22,39,5,22,25,28,32,26,32
0.5,8,19,36,1,19,22,25,29,24,30
0.0,4,16,33,,16,19,23,27,21,27