perc,pd_min,pd_max,pcdi_min,pcdi_max,dc_min,dc_max,ts_min,ts_max
100,,,,,,,,
99,47,60,44,60,48,60,128,180
98,45,46,42,43,45,47,125,127
97,44,44,41,41,44,44,122,124
96,43,43,40,40,43,43,120,121
95,,,39,39,42,42,119,119
94,42,42,38,38,,,118,118
93,,,,,41,41,117,117
92,41,41,37,37,,,116,116
91,40,40,,,40,40,115,115
90,,,36,36,,,114,114
89,,,,,,,,
88,39,39,,,39,39,113,113
87,,,,,,,112,112
86,,,35,35,38,38,111,111
85,38,38,34,34,,,110,110
84,,,,,,,108,109
83,,,33,33,37,37,107,107
82,37,37,32,32,,,106,106
81,36,36,,,36,36,105,105
80,,,31,31,,,104,104
79,,,,,,,103,103
78,35,35,30,30,35,35,102,102
77,,,,,,,99,101
76,34,34,29,29,34,34,98,98
75,,,,,,,96,97
74,,,,,,,93,95
73,33,33,28,28,33,33,92,92
72,,,,,,,90,91
71,32,32,,,,,,
70,,,27,27,32,32,89,89
69,,,,,,,88,88
68,31,31,,,31,31,87,87
67,30,30,26,26,,,86,86
66,,,,,30,30,85,85
65,,,,,,,84,84
64,29,29,,,,,83,83
63,,,25,25,,,,
62,28,28,,,29,29,82,82
61,,,,,,,81,81
60,,,,,,,80,80
59,27,27,24,24,28,28,79,79
58,,,,,,,78,78
57,,,,,,,77,77
56,,,,,27,27,76,76
55,26,26,23,23,,,,
54,,,,,,,75,75
53,,,,,,,,
52,,,,,26,26,74,74
51,,,22,22,,,,
50,25,25,,,,,73,73
49,,,,,,,,
48,,,21,21,,,,
47,,,,,25,25,72,72
46,24,24,,,,,71,71
45,,,,,,,,
44,,,,,,,70,70
43,,,20,20,,,,
42,,,,,,,69,69
41,,,,,24,24,,
40,,,,,,,68,68
39,23,23,,,,,67,67
38,,,,,,,,
37,,,19,19,,,66,66
36,22,22,,,,,,
35,,,,,23,23,65,65
34,,,,,,,,
33,,,,,,,64,64
32,21,21,18,18,,,,
31,,,,,,,63,63
30,,,,,22,22,,
29,,,,,,,62,62
28,,,17,17,,,61,61
27,20,20,,,,,,
26,,,,,21,21,60,60
25,,,,,,,,
24,,,16,16,,,59,59
23,19,19,,,,,,
22,,,,,20,20,58,58
21,,,,,,,,
20,18,18,,,,,57,57
19,,,15,15,,,56,56
18,,,,,19,19,,
17,,,,,,,55,55
16,,,,,,,54,54
15,17,17,,,,,,
14,,,14,14,18,18,53,53
13,,,,,,,52,52
12,,,,,,,51,51
11,16,16,,,17,17,,
10,,,13,13,,,50,50
9,,,,,16,16,49,49
8,15,15,,,,,48,48
7,14,14,,,,,47,47
6,,,,,15,15,45,46
5,13,13,12,12,,,44,44
4,,,,,14,14,42,43
3,12,12,,,,,41,41
2,,,,,13,13,40,40
1,,,,,12,12,36,39