raw,dep,anx,oc,pan,sep,soc
0,39,37,42,40,41,32
1,42,41,47,46,46,35
2,45,45,52,53,50,37
3,48,49,57,59,55,39
4,51,53,62,65,59,42
5,55,57,67,72,64,44
6,58,61,72,78,68,46
7,61,64,77,85,73,49
8,64,68,82,91,77,51
9,67,72,87,97,82,53
10,70,76,92,104,86,56
11,73,80,97,110,91,58
12,77,84,102,117,95,60
13,80,87,107,123,100,63
14,83,91,113,129,104,65
15,86,95,118,136,109,67
16,89,99,123,142,113,70
17,92,103,128,149,118,72
18,95,107,133,155,123,74
19,99,,,161,127,76
20,102,,,168,132,79
21,105,,,174,136,81
22,108,,,181,,83
23,111,,,187,,86
24,114,,,194,,88
25,117,,,200,,90
26,121,,,206,,93
27,124,,,213,,95
28,127,,,,,
29,130,,,,,
30,133,,,,,