raw,total,awr,cog,com,mot,rrb,sci
0,38,34,39,40,38,42,37
1,38,37,41,41,40,44,38
2,39,40,43,42,43,46,38
3,39,43,45,43,45,48,39
4,39,47,47,44,47,50,39
5,40,50,49,45,49,52,40
6,40,53,51,47,51,54,40
7,41,56,53,48,54,56,41
8,41,59,55,49,56,58,41
9,42,62,57,50,58,60,42
10,42,65,59,51,60,62,42
11,42,68,61,52,62,64,43
12,43,71,63,53,64,66,43
13,43,75,65,55,67,68,44
14,44,78,67,56,69,70,44
15,44,81,69,57,71,72,45
16,45,84,71,58,73,74,45
17,45,87,73,59,75,76,46
18,45,90,75,60,78,78,46
19,46,93,77,62,80,80,47
20,46,96,78,63,82,82,47
21,47,100,80,64,84,84,48
22,47,103,82,65,86,86,49
23,47,106,84,66,89,88,49
24,48,109,86,67,91,90,50
25,48,,88,68,93,92,50
26,49,,90,70,95,94,51
27,49,,92,71,97,96,51
28,50,,94,72,99,98,52
29,50,,96,73,102,100,52
30,50,,98,74,104,102,53
31,51,,100,75,106,104,53
32,51,,102,76,108,106,54
33,52,,104,78,110,108,54
34,52,,106,79,,110,55
35,53,,108,80,,112,55
36,53,,110,81,,115,56
37,53,,,82,,,56
38,54,,,83,,,57
39,54,,,84,,,57
40,55,,,86,,,58
41,55,,,87,,,58
42,55,,,88,,,59
43,56,,,89,,,59
44,56,,,90,,,60
45,57,,,91,,,60
46,57,,,93,,,61
47,58,,,94,,,61
48,58,,,95,,,62
49,58,,,96,,,62
50,59,,,97,,,63
51,59,,,98,,,63
52,60,,,99,,,64
53,60,,,101,,,64
54,61,,,102,,,65
55,61,,,103,,,66
56,61,,,104,,,66
57,62,,,105,,,67
58,62,,,106,,,67
59,63,,,107,,,68
60,63,,,109,,,68
61,64,,,110,,,69
62,64,,,111,,,69
63,64,,,112,,,70
64,65,,,113,,,70
65,65,,,114,,,71
66,66,,,115,,,71
67,66,,,,,,72
68,66,,,,,,72
69,67,,,,,,73
70,67,,,,,,73
71,68,,,,,,74
72,68,,,,,,74
73,69,,,,,,75
74,69,,,,,,75
75,69,,,,,,76
76,70,,,,,,76
77,70,,,,,,77
78,71,,,,,,77
79,71,,,,,,78
80,72,,,,,,78
81,72,,,,,,79
82,72,,,,,,79
83,73,,,,,,80
84,73,,,,,,80
85,74,,,,,,81
86,74,,,,,,81
87,74,,,,,,82
88,75,,,,,,82
89,75,,,,,,83
90,76,,,,,,84
91,76,,,,,,84
92,77,,,,,,85
93,77,,,,,,85
94,77,,,,,,86
95,78,,,,,,86
96,78,,,,,,87
97,79,,,,,,87
98,79,,,,,,88
99,80,,,,,,88
100,80,,,,,,89
101,80,,,,,,89
102,81,,,,,,90
103,81,,,,,,90
104,82,,,,,,91
105,82,,,,,,91
106,82,,,,,,92
107,83,,,,,,92
108,83,,,,,,93
109,84,,,,,,93
110,84,,,,,,94
111,85,,,,,,94
112,85,,,,,,95
113,85,,,,,,95
114,86,,,,,,96
115,86,,,,,,96
116,87,,,,,,97
117,87,,,,,,97
118,88,,,,,,98
119,88,,,,,,98
120,88,,,,,,99
121,89,,,,,,99
122,89,,,,,,100
123,90,,,,,,101
124,90,,,,,,101
125,91,,,,,,102
126,91,,,,,,102
127,91,,,,,,103
128,92,,,,,,103
129,92,,,,,,104
130,93,,,,,,104
131,93,,,,,,105
132,93,,,,,,105
133,94,,,,,,106
134,94,,,,,,106
135,95,,,,,,107
136,95,,,,,,107
137,96,,,,,,108
138,96,,,,,,108
139,96,,,,,,109
140,97,,,,,,109
141,97,,,,,,110
142,98,,,,,,110
143,98,,,,,,111
144,99,,,,,,111
145,99,,,,,,112
146,99,,,,,,112
147,100,,,,,,113
148,100,,,,,,113
149,101,,,,,,114
150,101,,,,,,114
151,101,,,,,,115
152,102,,,,,,115
153,102,,,,,,116
154,103,,,,,,116
155,103,,,,,,117
156,104,,,,,,117
157,104,,,,,,118
158,104,,,,,,119
159,105,,,,,,119
160,105,,,,,,
161,106,,,,,,
162,106,,,,,,
163,107,,,,,,
164,107,,,,,,
165,107,,,,,,
166,108,,,,,,
167,108,,,,,,
168,109,,,,,,
169,109,,,,,,
170,109,,,,,,
171,110,,,,,,
172,110,,,,,,
173,111,,,,,,
174,111,,,,,,
175,112,,,,,,
176,112,,,,,,
177,112,,,,,,
178,113,,,,,,
179,113,,,,,,
180,114,,,,,,
181,114,,,,,,
182,115,,,,,,
183,115,,,,,,
184,115,,,,,,
185,116,,,,,,
186,116,,,,,,
187,117,,,,,,
188,117,,,,,,
189,118,,,,,,
190,118,,,,,,
191,118,,,,,,
192,119,,,,,,
193,119,,,,,,
194,120,,,,,,
195,120,,,,,,